Cause,Age_Group,Year,Deaths
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2017,628.0
Accidental poisoning (X40-X49),35–44 years,2017,467.0
Ischaemic heart diseases (I20-I25),35–44 years,2017,215.0
Ischaemic heart diseases (I20-I25),45–54 years,2017,729.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2017,624.0
Accidental poisoning (X40-X49),45–54 years,2017,417.0
Ischaemic heart diseases (I20-I25),55–64 years,2017,1464.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2017,1378.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2017,627.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2017,2672.0
Ischaemic heart diseases (I20-I25),65–74 years,2017,2671.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2017,1716.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2017,3347.0
Ischaemic heart diseases (I20-I25),75–84 years,2017,4576.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2017,2848.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2017,7769.0
Ischaemic heart diseases (I20-I25),85–94 years,2017,7401.0
Cerebrovascular diseases (I60-I69),85–94 years,2017,4589.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2017,2083.0
Ischaemic heart diseases (I20-I25),95 years and over,2017,1940.0
Cerebrovascular diseases (I60-I69),95 years and over,2017,1155.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2018,539.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2018,263.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2018,82.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2018,44.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2018,28.0
Malignant neoplasm of brain (C71),1–14 years,2018,33.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2018,450.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2018,231.0
Accidental poisoning (X40-X49),15–24 years,2018,82.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2018,565.0
Accidental poisoning (X40-X49),25–34 years,2018,255.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2018,202.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2018,588.0
Accidental poisoning (X40-X49),35–44 years,2018,466.0
Ischaemic heart diseases (I20-I25),35–44 years,2018,206.0
Ischaemic heart diseases (I20-I25),45–54 years,2018,708.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2018,599.0
Accidental poisoning (X40-X49),45–54 years,2018,430.0
Ischaemic heart diseases (I20-I25),55–64 years,2018,1515.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2018,1469.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2018,610.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2018,2799.0
Ischaemic heart diseases (I20-I25),65–74 years,2018,2549.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2018,1709.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2018,3426.0
Ischaemic heart diseases (I20-I25),75–84 years,2018,4330.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2018,2619.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2018,7854.0
Ischaemic heart diseases (I20-I25),85–94 years,2018,6953.0
Cerebrovascular diseases (I60-I69),85–94 years,2018,4390.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2018,2171.0
Ischaemic heart diseases (I20-I25),95 years and over,2018,1780.0
Cerebrovascular diseases (I60-I69),95 years and over,2018,1103.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2019,524.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2019,265.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2019,110.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2019,57.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2019,50.0
Malignant neoplasm of brain (C71),1–14 years,2019,32.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2019,466.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2019,246.0
Accidental poisoning (X40-X49),15–24 years,2019,90.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2019,620.0
Accidental poisoning (X40-X49),25–34 years,2019,249.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2019,198.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2019,650.0
Accidental poisoning (X40-X49),35–44 years,2019,427.0
Ischaemic heart diseases (I20-I25),35–44 years,2019,197.0
Ischaemic heart diseases (I20-I25),45–54 years,2019,699.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2019,609.0
Accidental poisoning (X40-X49),45–54 years,2019,403.0
Ischaemic heart diseases (I20-I25),55–64 years,2019,1571.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2019,1486.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2019,648.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2019,2657.0
Ischaemic heart diseases (I20-I25),65–74 years,2019,2605.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2019,1757.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2019,3609.0
Ischaemic heart diseases (I20-I25),75–84 years,2019,4358.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2019,2772.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2019,8237.0
Ischaemic heart diseases (I20-I25),85–94 years,2019,6602.0
Cerebrovascular diseases (I60-I69),85–94 years,2019,4261.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2019,2454.0
Ischaemic heart diseases (I20-I25),95 years and over,2019,1920.0
Cerebrovascular diseases (I60-I69),95 years and over,2019,1173.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2020,499.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2020,270.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2020,79.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2020,50.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2020,33.0
Malignant neoplasm of brain (C71),1–14 years,2020,34.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2020,458.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2020,216.0
Accidental poisoning (X40-X49),15–24 years,2020,94.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2020,598.0
Accidental poisoning (X40-X49),25–34 years,2020,267.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2020,241.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2020,575.0
Accidental poisoning (X40-X49),35–44 years,2020,425.0
Ischaemic heart diseases (I20-I25),35–44 years,2020,209.0
Ischaemic heart diseases (I20-I25),45–54 years,2020,713.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2020,551.0
Accidental poisoning (X40-X49),45–54 years,2020,430.0
Ischaemic heart diseases (I20-I25),55–64 years,2020,1479.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2020,1366.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2020,584.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2020,2611.0
Ischaemic heart diseases (I20-I25),65–74 years,2020,2469.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2020,1540.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2020,3581.0
Ischaemic heart diseases (I20-I25),75–84 years,2020,3998.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2020,2407.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2020,7972.0
Ischaemic heart diseases (I20-I25),85–94 years,2020,6124.0
Cerebrovascular diseases (I60-I69),85–94 years,2020,4044.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2020,2408.0
Ischaemic heart diseases (I20-I25),95 years and over,2020,1795.0
Cerebrovascular diseases (I60-I69),95 years and over,2020,1145.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2021,531.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2021,270.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2021,87.0
