Model,RMSE,R2,AIC
Linear (Year only),2505.669370944739,-1.5975865026662817e-05,N/A
Linear (Full Features),2499.6858719552065,0.004754366372143548,N/A
Multiple Linear Regression,2499.6858719552065,0.004754366372143548,N/A
Ridge Regression,2499.6859712885616,0.0047542872733327135,N/A
Random Forest Regression,210.10574134555162,0.9929687061236068,N/A
Poisson Regression,N/A,N/A,101312832.21846667
