Cause,Deaths,Year,Sex
Dietary calcium deficiency (E58),0.0,2015,Male
Dietary selenium deficiency (E59),0.0,2015,Male
Dietary zinc deficiency (E60),0.0,2015,Male
Deficiency of other nutrient elements (E61),26.0,2015,Male
Other nutritional deficiencies (E63),2.0,2015,Male
Sequelae of malnutrition and other nutritional deficiencies (E64),0.0,2015,Male
Obesity and other hyperalimentation (E65-E68),840.0,2015,Male
Localized adiposity (E65),0.0,2015,Male
Obesity (E66),840.0,2015,Male
Other hyperalimentation (E67),0.0,2015,Male
Sequelae of hyperalimentation (E68),0.0,2015,Male
Metabolic disorders (E70-E90),3527.0,2015,Male
Disorders of aromatic amino-acid metabolism (E70),0.0,2015,Male
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),2.0,2015,Male
Other disorders of amino-acid metabolism (E72),5.0,2015,Male
Lactose intolerance (E73),0.0,2015,Male
Other disorders of carbohydrate metabolism (E74),3.0,2015,Male
Disorders of sphingolipid metabolism and other lipid storage disorders (E75),15.0,2015,Male
Disorders of glycosaminoglycan metabolism (E76),3.0,2015,Male
Disorders of glycoprotein metabolism (E77),2.0,2015,Male
Disorders of lipoprotein metabolism and other lipidaemias (E78),1867.0,2015,Male
Disorders of purine and pyrimidine metabolism (E79),3.0,2015,Male
Disorders of porphyrin and bilirubin metabolism (E80),7.0,2015,Male
Disorders of mineral metabolism (E83),289.0,2015,Male
Cystic fibrosis (E84),7.0,2015,Male
Amyloidosis (E85),190.0,2015,Male
Volume depletion (E86),450.0,2015,Male
"Other disorders of fluid, electrolyte and acid-base balance (E87)",690.0,2015,Male
Other metabolic disorders (E88),105.0,2015,Male
"Postprocedural endocrine and metabolic disorders, not elsewhere classified (E89)",1.0,2015,Male
"Organic, including symptomatic, mental disorders (F00-F09)",7854.0,2015,Male
Vascular dementia (F01),1235.0,2015,Male
Unspecified dementia (F03),6391.0,2015,Male
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",0.0,2015,Male
"Delirium, not induced by alcohol and other psychoactive substances (F05)",384.0,2015,Male
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),38.0,2015,Male
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",7.0,2015,Male
Unspecified organic or symptomatic mental disorder (F09),19.0,2015,Male
Mental and behavioural disorders due to psychoactive substance use (F10-F19),4072.0,2015,Male
Mental and behavioural disorders due to use of alcohol (F10),1949.0,2015,Male
Mental and behavioural disorders due to use of opioids (F11),248.0,2015,Male
Mental and behavioural disorders due to use of cannabinoids (F12),217.0,2015,Male
Mental and behavioural disorders due to use of sedatives or hypnotics (F13),53.0,2015,Male
Mental and behavioural disorders due to use of cocaine (F14),7.0,2015,Male
"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",250.0,2015,Male
